iter	Passed	Remaining
0	56	56866
1	57	28573
2	57	19146
3	57	14441
4	58	11603
5	58	9709
6	58	8359
7	59	7347
8	59	6557
9	59	5925
10	60	5410
11	60	4981
12	60	4616
13	61	4318
14	61	4045
15	61	3807
16	62	3597
17	62	3410
18	62	3242
19	63	3092
20	63	2955
21	63	2831
22	63	2717
23	64	2622
24	64	2523
25	65	2441
26	65	2358
27	65	2282
28	65	2207
29	66	2140
30	66	2078
31	66	2024
32	67	1970
33	67	1918
34	67	1874
35	68	1829
36	68	1790
37	69	1752
38	69	1713
39	69	1675
40	70	1639
41	71	1622
42	71	1589
43	71	1557
44	71	1526
45	72	1497
46	72	1469
47	72	1443
48	73	1418
49	73	1398
50	73	1374
51	74	1351
52	74	1330
53	74	1311
54	75	1290
55	75	1271
56	75	1252
57	75	1234
58	76	1218
59	76	1202
60	77	1186
61	77	1169
62	77	1153
63	77	1138
64	78	1123
65	78	1109
66	78	1095
67	78	1081
68	79	1068
69	79	1055
70	79	1043
71	79	1030
72	80	1018
73	80	1006
74	80	995
75	81	986
76	81	974
77	81	964
78	81	954
79	82	944
80	82	934
81	82	925
82	82	916
83	83	906
84	83	900
85	83	891
86	84	883
87	84	877
88	84	869
89	85	862
90	85	854
91	85	846
92	86	839
93	86	831
94	86	824
95	86	819
96	87	812
97	87	805
98	87	798
99	88	792
100	88	785
101	88	779
102	88	773
103	89	767
104	89	761
105	89	755
106	89	749
107	90	745
108	90	740
109	90	735
110	91	730
111	91	725
112	92	722
113	92	718
114	92	714
115	93	708
116	93	704
117	93	699
118	93	694
119	94	691
120	94	689
121	95	684
122	95	680
123	95	675
124	96	676
125	97	673
126	97	669
127	97	665
128	97	661
129	98	656
130	98	652
131	98	648
132	98	644
133	99	641
134	100	643
135	100	640
136	100	636
137	101	632
138	101	628
139	101	625
140	102	621
141	102	618
142	102	615
143	102	611
144	103	608
145	103	606
146	104	607
147	105	605
148	105	602
149	106	600
150	106	597
151	106	595
152	107	592
153	107	589
154	107	586
155	107	584
156	108	582
157	108	580
158	109	577
159	109	576
160	110	575
161	110	573
162	111	570
163	111	569
164	112	568
165	112	565
166	112	562
167	113	559
168	113	557
169	113	554
170	113	551
171	114	548
172	114	546
173	114	543
174	114	541
175	115	538
176	115	536
177	115	534
178	115	531
179	116	529
180	116	527
181	117	526
182	117	525
183	118	524
184	118	521
185	118	520
186	119	518
187	119	516
188	119	514
189	120	512
190	120	511
191	120	509
192	121	507
193	121	506
194	122	505
195	122	504
196	123	502
197	123	501
198	124	500
199	124	498
200	125	497
201	125	495
202	125	494
203	126	493
204	126	491
205	127	490
206	127	488
207	127	486
208	128	484
209	128	482
210	128	481
211	128	479
212	129	477
213	129	475
214	129	473
215	129	471
216	130	469
217	130	468
218	130	466
219	130	464
220	131	462
221	131	460
222	131	459
223	132	458
224	132	457
225	133	456
226	133	455
227	134	454
228	134	452
229	134	450
230	134	449
231	135	447
232	135	446
233	135	445
234	136	443
235	136	441
236	136	440
237	137	438
238	137	437
239	137	435
240	137	434
241	138	432
242	138	431
243	138	429
244	139	428
245	139	426
246	139	425
247	139	423
248	140	422
249	140	420
250	140	419
251	140	418
252	141	416
253	141	414
254	141	414
255	141	412
256	142	411
257	142	409
258	142	408
259	142	406
260	143	406
261	143	404
262	143	403
263	144	401
264	144	400
265	144	399
266	144	397
267	145	396
268	145	395
269	145	393
270	146	392
271	146	391
272	146	390
273	146	389
274	147	388
275	147	387
276	148	387
277	148	385
278	148	384
279	149	384
280	149	383
281	150	382
282	150	381
283	150	379
284	150	378
285	151	377
286	151	376
287	152	375
288	152	374
289	152	374
290	153	372
291	153	371
292	153	370
293	153	369
294	154	368
295	154	367
296	154	365
297	154	364
298	155	363
299	155	362
300	155	361
301	155	360
302	156	359
303	156	358
304	156	357
305	157	356
306	157	355
307	157	354
308	158	353
309	158	352
310	158	351
311	158	350
312	159	349
313	159	348
314	159	347
315	159	346
316	160	344
317	160	343
318	160	342
319	160	341
320	161	340
321	161	339
322	162	340
323	162	339
324	163	339
325	163	338
326	163	337
327	164	336
328	164	335
329	164	334
330	165	335
331	166	334
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	167	327
339	168	326
340	168	325
341	168	324
342	169	323
343	169	322
344	169	322
345	169	321
346	170	320
347	170	319
348	170	318
349	171	317
350	171	316
351	171	316
352	171	315
353	172	314
354	172	313
355	172	312
356	173	311
357	173	310
358	173	310
359	173	309
360	174	308
361	174	307
362	174	306
363	174	305
364	175	304
365	175	303
366	175	303
367	176	302
368	176	301
369	176	300
370	176	299
371	177	298
372	177	298
373	177	297
374	177	296
375	178	295
376	178	295
377	179	294
378	179	294
379	179	293
380	180	293
381	180	292
382	181	291
383	181	291
384	181	290
385	182	290
386	183	289
387	183	289
388	183	288
389	183	287
390	183	286
391	184	285
392	184	284
393	184	284
394	185	283
395	185	282
396	185	281
397	185	281
398	186	280
399	186	279
400	186	278
401	186	278
402	187	277
403	187	276
404	187	276
405	188	275
406	188	274
407	188	273
408	189	273
409	189	272
410	189	271
411	189	270
412	190	270
413	190	269
414	190	268
415	190	267
416	191	267
417	191	266
418	191	265
419	191	265
420	192	264
421	192	263
422	192	262
423	192	262
424	193	261
425	193	260
426	193	260
427	194	259
428	194	258
429	194	258
430	195	257
431	195	256
432	195	256
433	195	255
434	196	254
435	196	254
436	196	253
437	197	252
438	197	252
439	197	251
440	197	250
441	198	250
442	198	249
443	198	248
444	198	248
445	199	247
446	199	246
447	199	246
448	199	245
449	200	244
450	200	244
451	200	243
452	201	242
453	201	242
454	201	241
455	201	240
456	202	240
457	202	239
458	202	238
459	202	238
460	203	237
461	203	236
462	203	236
463	203	235
464	204	234
465	204	234
466	204	233
467	205	233
468	205	232
469	205	231
470	205	231
471	205	230
472	206	229
473	206	229
474	206	228
475	206	227
476	207	227
477	207	226
478	207	225
479	208	225
480	208	224
481	208	224
482	208	223
483	209	222
484	209	222
485	209	221
486	209	221
487	210	220
488	210	219
489	210	219
490	211	219
491	212	219
492	212	218
493	212	218
494	213	217
495	213	216
496	213	216
497	214	215
498	214	215
499	214	214
500	214	213
501	214	213
502	215	212
503	215	212
504	215	211
505	216	210
506	216	210
507	216	209
508	217	209
509	218	209
510	218	208
511	218	208
512	218	207
513	219	207
514	219	206
515	219	206
516	220	205
517	220	205
518	220	204
519	221	204
520	221	203
521	221	202
522	221	202
523	222	201
524	222	201
525	222	200
526	222	199
527	223	199
528	223	198
529	223	198
530	223	197
531	224	197
532	224	196
533	224	196
534	224	195
535	225	194
536	225	194
537	225	193
538	225	193
539	226	192
540	226	192
541	226	191
542	227	191
543	228	191
544	228	190
545	228	190
546	228	189
547	229	188
548	229	188
549	229	187
550	229	187
551	230	186
552	230	186
553	230	185
554	230	185
555	231	184
556	231	184
557	231	183
558	232	183
559	232	182
560	232	181
561	232	181
562	233	180
563	233	180
564	233	179
565	233	179
566	234	178
567	234	178
568	234	177
569	235	177
570	235	176
571	235	176
572	235	175
573	236	175
574	236	174
575	236	174
576	236	173
577	237	173
578	237	172
579	237	172
580	237	171
581	238	171
582	238	170
583	238	169
584	238	169
585	239	168
586	239	168
587	239	167
588	239	167
589	240	166
590	240	166
591	241	166
592	241	165
593	241	165
594	242	164
595	242	164
596	242	163
597	243	163
598	243	163
599	243	162
600	244	162
601	244	161
602	244	161
603	244	160
604	245	160
605	245	159
606	245	159
607	245	158
608	246	158
609	246	157
610	246	157
611	247	156
612	247	156
613	247	155
614	247	155
615	248	154
616	248	154
617	248	153
618	249	153
619	249	153
620	250	152
621	250	152
622	250	151
623	250	151
624	251	150
625	251	150
626	251	149
627	251	149
628	252	148
629	252	148
630	252	147
631	252	147
632	253	146
633	253	146
634	253	145
635	253	145
636	254	144
637	254	144
638	254	143
639	254	143
640	255	142
641	255	142
642	255	141
643	255	141
644	256	141
645	256	140
646	256	140
647	257	139
648	257	139
649	257	138
650	258	138
651	258	137
652	258	137
653	259	137
654	259	136
655	259	136
656	259	135
657	260	135
658	260	134
659	260	134
660	260	133
661	261	133
662	261	132
663	262	132
664	262	132
665	262	131
666	262	131
667	263	130
668	263	130
669	263	129
670	264	129
671	264	129
672	264	128
673	264	128
674	265	127
675	265	127
676	265	126
677	266	126
678	266	126
679	266	125
680	267	125
681	267	124
682	267	124
683	267	123
684	268	123
685	268	122
686	268	122
687	269	122
688	269	121
689	269	121
690	269	120
691	270	120
692	270	119
693	270	119
694	271	118
695	271	118
696	271	118
697	271	117
698	272	117
699	272	116
700	272	116
701	273	116
702	273	115
703	274	115
704	274	114
705	274	114
706	275	114
707	275	113
708	275	113
709	275	112
710	276	112
711	276	111
712	276	111
713	276	110
714	277	110
715	277	110
716	277	109
717	277	109
718	278	108
719	278	108
720	278	107
721	278	107
722	279	106
723	279	106
724	279	106
725	279	105
726	280	105
727	280	104
728	280	104
729	281	103
730	281	103
731	281	103
732	281	102
733	282	102
734	282	101
735	282	101
736	282	100
737	283	100
738	283	100
739	283	99
740	283	99
741	284	98
742	284	98
743	284	97
744	284	97
745	285	97
746	285	96
747	285	96
748	285	95
749	286	95
750	286	94
751	286	94
752	287	94
753	287	93
754	287	93
755	288	93
756	288	92
757	288	92
758	289	91
759	289	91
760	289	91
761	290	90
762	290	90
763	290	89
764	291	89
765	291	89
766	291	88
767	291	88
768	292	87
769	292	87
770	292	86
771	293	86
772	293	86
773	293	85
774	293	85
775	294	84
776	294	84
777	294	84
778	294	83
779	295	83
780	295	82
781	295	82
782	295	82
783	296	81
784	296	81
785	296	80
786	297	80
787	297	80
788	297	79
789	297	79
790	298	78
791	298	78
792	298	77
793	298	77
794	299	77
795	299	76
796	299	76
797	299	75
798	300	75
799	300	75
800	300	74
801	301	74
802	301	73
803	301	73
804	301	73
805	302	72
806	302	72
807	302	71
808	302	71
809	303	71
810	303	70
811	303	70
812	304	69
813	304	69
814	304	69
815	304	68
816	305	68
817	305	67
818	305	67
819	306	67
820	306	66
821	306	66
822	307	66
823	307	65
824	307	65
825	308	64
826	308	64
827	308	64
828	308	63
829	309	63
830	309	62
831	309	62
832	309	62
833	310	61
834	310	61
835	310	60
836	310	60
837	311	60
838	312	59
839	312	59
840	313	59
841	313	58
842	313	58
843	314	58
844	314	57
845	314	57
846	314	56
847	315	56
848	315	56
849	315	55
850	315	55
851	316	54
852	316	54
853	316	54
854	316	53
855	317	53
856	317	52
857	317	52
858	317	52
859	318	51
860	318	51
861	318	51
862	319	50
863	319	50
864	319	49
865	320	49
866	320	49
867	320	48
868	321	48
869	321	48
870	321	47
871	322	47
872	323	46
873	323	46
874	323	46
875	323	45
876	324	45
877	324	45
878	324	44
879	325	44
880	325	43
881	325	43
882	325	43
883	326	42
884	326	42
885	326	42
886	327	41
887	328	41
888	328	41
889	328	40
890	328	40
891	329	39
892	329	39
893	329	39
894	329	38
895	330	38
896	330	37
897	330	37
898	331	37
899	331	36
900	331	36
901	331	36
902	332	35
903	332	35
904	332	34
905	332	34
906	333	34
907	333	33
908	333	33
909	334	33
910	334	32
911	334	32
912	334	31
913	335	31
914	335	31
915	335	30
916	336	30
917	336	30
918	337	29
919	337	29
920	337	28
921	337	28
922	338	28
923	338	27
924	338	27
925	339	27
926	339	26
927	339	26
928	339	25
929	340	25
930	340	25
931	340	24
932	340	24
933	341	24
934	341	23
935	341	23
936	341	22
937	342	22
938	342	22
939	342	21
940	343	21
941	343	21
942	343	20
943	344	20
944	344	20
945	344	19
946	344	19
947	345	18
948	345	18
949	345	18
950	345	17
951	346	17
952	346	17
953	346	16
954	346	16
955	347	15
956	347	15
957	347	15
958	348	14
959	348	14
960	348	14
961	348	13
962	349	13
963	349	13
964	349	12
965	349	12
966	350	11
967	350	11
968	350	11
969	351	10
970	351	10
971	352	10
972	353	9
973	353	9
974	353	9
975	353	8
976	354	8
977	354	7
978	354	7
979	355	7
980	355	6
981	355	6
982	355	6
983	356	5
984	356	5
985	356	5
986	356	4
987	357	4
988	357	3
989	357	3
990	358	3
991	359	2
992	360	2
993	360	2
994	360	1
995	360	1
996	361	1
997	361	0
998	361	0
999	361	0
